z,mu,sig
0.02509,35.25995,0.19987425071779505
0.0251,35.08017,0.18435258311181862
0.0251,34.98002,0.15568658420043777
0.02512,35.13565,0.1468845383285797
0.02517,35.21658,0.17671427248527496
0.02519,35.23294,0.14875553771204622
0.02534,35.34029,0.14169562449137235
0.02534,35.30465,0.13634166054438387
0.02556,35.26944,0.1710196213888921
0.02557,35.20203,0.14540215404181603
0.02591,35.33251,0.13786242744127203
0.02598,35.16595,0.16194264416761878
0.02598,35.36794,0.1581171262071253
0.02669,35.48988,0.13811686211321195
0.02695,35.3286,0.1283966592244518
0.02713,35.38339,0.1417975472284341
0.02731,35.4217,0.2179747070189567
0.0274,35.4032,0.2957294921038482
0.02741,35.58097,0.16475353835350548
0.02748,35.27905,0.12344878492719157
0.02823,35.63531,0.13925167000793923
0.02833,35.33929,0.1683397104072595
0.02844,35.46983,0.12373785354530763
0.02849,35.45147,0.13104675081817174
0.02849,35.47203,0.2059507455679634
0.02857,35.54768,0.19223145970418057
0.02858,35.56905,0.1541188813870643
0.02866,35.58174,0.17236182901095012
0.02898,35.52838,0.21586260004919797
0.02902,35.17845,0.15360705582752374
0.02915,35.81677,0.12503077381189
0.02919,35.74741,0.13996469697748787
0.02938,35.70388,0.22205549058737545
0.02938,35.55198,0.18605577120852765
0.02944,35.4407,0.1323853073418648
0.02953,35.53344,0.13814506867782142
0.02956,35.56537,0.13934851990602556
0.02969,35.385,0.16600084367255485
0.02978,35.71706,0.14590074845592807
0.0299,35.52993,0.13127912400682754
0.03012,35.5473,0.15705404674824525
0.03023,35.69492,0.11723161902831505
0.03031,35.62306,0.1498854659398302
0.03036,35.61376,0.1244843219044069
0.03059,35.5107,0.12521643023181903
0.03071,35.72373,0.1518388780912188
0.03083,35.60979,0.19297161345648742
0.03086,35.56461,0.13339596283246358
0.03117,35.58907,0.19960540598891602
0.0312,35.70509,0.12289687587567066
0.03134,36.00315,0.21308413385327404
0.03143,35.8135,0.1482832387695926
0.03143,35.73926,0.1394097930562986
0.03148,35.77221,0.15240291631067956
0.03174,35.84381,0.12552017726246248
0.03192,35.54453,0.13191406899948163
0.03201,35.60595,0.11721449952970835
0.03243,35.74894,0.21922286285878123
0.03255,35.72144,0.12901847774640654
0.03264,35.67592,0.17932167325786363
0.03264,36.05743,0.1463000003417635
0.03267,35.53403,0.16598803601464776
0.03272,35.80144,0.11625921081789607
0.03282,35.73067,0.1371317836972888
0.03289,35.95132,0.13062603913462276
0.0329,35.86396,0.11772415597488903
0.03296,35.89486,0.18955500520956972
0.03298,35.83813,0.11072725454918496
0.03333,35.79166,0.11035395597802554
0.03335,35.617,0.1789560954536056
0.03341,36.04919,0.10951739587846308
0.03371,35.94327,0.10739707863810823
0.03373,35.9177,0.2732592366233939
0.03378,35.83146,0.30022321179415823
0.03393,36.02516,0.18015491222833754
0.03428,36.06484,0.16054310604943461
0.03437,35.88308,0.15750528530814448
0.03451,35.99496,0.2555631460128788
0.03479,35.90221,0.2159409187717789
0.03491,36.01126,0.15203636538670606
0.03512,36.01851,0.11709639661407178
0.03516,35.99892,0.14161178941034533
0.03529,35.9573,0.1171185830686147
0.03551,36.00256,0.2664206140673052
0.03568,36.38234,0.11612371893803608
0.03599,36.14277,0.10796385923076296
0.03624,36.32659,0.1271978808785744
0.03635,36.14299,0.1299413055960267
0.03682,36.11617,0.11234166146181034
0.03702,36.05893,0.15899546817441057
0.03705,36.05504,0.11193905663350927
0.03725,36.01068,0.12538161109189816
0.0373,36.00728,0.1343476400983657
0.0374,36.13761,0.12201074092062551
0.03753,36.16609,0.19985737414466348
0.03756,36.30183,0.16845061590863952
0.03787,36.25411,0.11919652889241364
0.03796,36.20641,0.14873046930605713
0.03818,36.04309,0.11327548234282651
0.03828,36.24514,0.13599728820825804
0.03848,36.31572,0.11805470935121562
0.03873,36.12057,0.12331770391959136
0.03884,36.17443,0.14417611071186517
0.03902,36.15798,0.1680842395943177
0.03909,36.37011,0.13530295636090145
0.04035,36.43433,0.16718380423952553
0.04056,36.16885,0.12258636506561404
0.04077,36.15319,0.15371278411374897
0.04089,36.24039,0.11042536121743049
0.04095,36.48436,0.17576951072356092
0.04099,36.20463,0.11172653400155219
0.04101,36.41367,0.10578269281881608
0.04268,36.40134,0.12098003512976842
0.04285,36.24371,0.16292473998751694
0.04289,36.45301,0.10378156339157742
0.04306,36.27389,0.1975625885637258
0.04349,36.36083,0.12710642194633598
0.04349,36.57204,0.10570076442486119
0.04369,36.40534,0.11292112689837983
