z,mu,sig
0.01029,32.3353,0.401367
0.01051,32.901,0.309548
0.01042,32.7794,0.348547
0.01048,33.1081,0.364668
0.0104,33.5709,0.314858
0.01238,33.7337,0.342487
0.01096,33.8347,0.353909
0.01096,33.4336,0.283424
0.01189,33.5833,0.281169
0.01168,33.4974,0.301502
0.01275,33.8783,0.346381
0.01244,33.7023,0.266666
0.01142,33.7403,0.254135
0.0126,33.8286,0.265115
0.0122,33.708,0.24076
0.01247,33.5874,0.26006
0.01407,33.7492,0.416658
0.01306,33.6365,0.287379
0.01309,33.7355,0.239783
0.01222,33.5752,0.292564
0.01222,33.5673,0.284786
0.01288,33.9682,0.303693
0.0136,33.797,0.277855
0.01314,33.7649,0.288791
0.01361,33.6741,0.345367
0.01434,33.6968,0.233531
0.014,33.8053,0.288803
0.01406,33.8206,0.250873
0.01424,33.8444,0.265489
0.01386,34.0187,0.307194
0.01509,34.3366,0.370715
0.01416,33.9078,0.240515
0.01504,34.1727,0.365029
0.01457,33.7526,0.2163
0.0142,33.8826,0.249316
0.01422,33.9253,0.243928
0.01503,33.7553,0.390506
0.01448,33.8916,0.240694
0.01429,33.7894,0.397352
0.01472,34.0109,0.270222
0.01449,34.1902,0.372674
0.01402,33.8524,0.277558
0.01483,33.974,0.229564
0.01509,33.8877,0.294985
0.01495,34.1793,0.26677
0.01529,33.7706,0.30219
0.01522,34.0334,0.344305
0.01518,34.3426,0.372888
0.01566,34.0744,0.314862
0.01572,34.0331,0.226465
0.01493,34.2732,0.34036
0.01534,34.2581,0.272528
0.01534,33.9994,0.28632
0.01592,33.7902,0.290577
0.01506,34.1732,0.264363
0.01539,34.3317,0.278713
0.01527,34.1657,0.28688
0.01629,33.9986,0.219937
0.01629,34.0697,0.290382
0.01556,33.9926,0.239289
0.01579,34.3916,0.270341
0.01619,34.0287,0.224824
0.01579,34.1663,0.242893
0.01538,34.0329,0.272511
0.01636,34.1062,0.281582
0.01619,34.4137,0.34637
0.01595,33.9999,0.334729
0.0157,34.1608,0.218117
0.01612,33.9726,0.41528
0.01581,34.2793,0.261916
0.01633,34.3408,0.198023
0.0163,33.8985,0.245383
0.01632,34.1679,0.246475
0.01601,33.9673,0.284408
0.0161,33.841,0.289311
0.01671,34.4894,0.310314
0.01678,34.3409,0.228387
0.01673,34.0755,0.297815
0.01661,34.1973,0.214463
0.01658,34.022,0.308995
0.01697,34.6084,0.219814
0.01649,34.1436,0.28269
0.0168,34.4009,0.221698
0.01694,34.361,0.220285
0.01709,34.31,0.263557
0.01646,33.7799,0.330633
0.01774,34.3228,0.200241
0.01718,34.1465,0.231417
0.01748,34.2221,0.320412
0.01734,34.3364,0.210115
0.01739,34.2939,0.246602
0.01765,34.2975,0.318912
0.01791,34.2661,0.234211
0.01805,34.6078,0.20147
0.01918,34.9792,0.21848
0.01791,34.2005,0.280568
0.01796,34.4393,0.226901
0.01925,34.492,0.255362
0.01851,34.6171,0.238984
0.01851,34.5716,0.239989
0.01902,34.6066,0.277471
0.01822,34.5466,0.215514
0.01839,34.4286,0.281407
0.01955,34.7747,0.195403
0.01835,34.757,0.466611
0.01992,34.6865,0.406241
0.01855,34.3648,0.295725
0.01948,34.6854,0.204275
0.01976,34.5121,0.199486
0.02033,34.5072,0.233893
0.01926,34.5995,0.188309
0.0187,34.9988,0.187715
0.02019,34.8165,0.241825
0.02019,34.5749,0.375822
0.02066,34.5709,0.187708
0.02121,34.6552,0.214591
0.01983,35.1263,0.375783
0.02039,34.556,0.333904
0.02061,34.4168,0.217156
0.02014,34.5647,0.249505
0.02079,34.4863,0.330445
0.02087,34.674,0.230899
0.02046,34.8118,0.300223
0.02001,34.6956,0.216494
0.01993,34.6693,0.230687
0.02093,34.375,0.203089
0.02207,34.8194,0.196425
0.02146,35.118,0.310686
0.02187,34.7561,0.180584
0.01978,34.7627,0.339971
0.02179,34.3468,0.19901
0.02017,34.5899,0.199177
0.02104,34.6114,0.393324
0.02157,34.7709,0.195863
0.0214,34.7583,0.283448
0.02263,34.8589,0.246447
